,satisfaction_level,last_evaluation,number_project,average_monthly_hours,centroidDis,time_spend_company,Work_accident,promotion_last_5years,DepartmentGroup_1,DepartmentGroup_2,DepartmentGroup_3,salary_1,salary_2,salary_3,left
0,-0.9364946890660525,-1.0872752890605568,-1.4628629148312604,-0.8820398765705111,-0.003162768850928305,1,0,0,1,0,0,1,0,0,1
1,0.7528143315270648,0.840706927367526,0.9711129237526113,1.220422760515166,-0.4171770512613835,1,0,0,1,0,0,0,1,0,1
2,-2.0224790594473423,0.9575543344237735,2.5937634828085256,1.4206572973804688,-0.9086414187007096,0,0,0,1,0,0,0,1,0,1
3,0.43104118474742315,0.8991306308956497,0.9711129237526113,0.43950806674048604,-1.3576612092754134,1,0,0,1,0,0,1,0,0,1
4,-0.9767163324135077,-1.1456989925886807,-1.4628629148312604,-0.8419929691974506,0.12303570177033143,1,0,0,1,0,0,1,0,0,1
5,-0.8158297590236872,-1.2625463996449282,-1.4628629148312604,-0.9621336913166321,-0.3534670742774397,1,0,0,1,0,0,1,0,0,1
6,-2.0627007027947974,0.31489359561441255,1.7824382032805686,0.9200709552172123,-1.01421056259939,0,0,0,1,0,0,1,0,0,1
7,1.2354740516965268,0.7822832238394022,0.9711129237526113,1.1603523994555753,0.10093533478453634,1,0,0,1,0,0,1,0,0,1
8,1.1148091216541611,1.6586387767612583,0.9711129237526113,0.45953152042701634,-0.7745060603455428,1,0,0,1,0,0,1,0,0,1
9,-0.7756081156762319,-1.0872752890605568,-1.4628629148312604,-1.182391681868465,-0.3564773410056228,1,0,0,1,0,0,1,0,0,1
10,-0.6549431856338663,-1.0288515855324332,-1.4628629148312604,-1.3225558576741767,-0.46659594388276227,1,0,0,1,0,0,1,0,0,1
11,-2.0224790594473423,0.5485884097269077,1.7824382032805686,2.0814312690359675,0.7143441286470422,0,0,0,1,0,0,1,0,0,1
12,0.9137009049168852,1.1912491485362686,0.1597876442246541,0.659766057292319,-1.3964323302217239,1,0,0,1,0,0,1,0,0,1
13,-0.8158297590236872,-0.9704278820043093,-1.4628629148312604,-1.0622509597492835,-0.33172534669595716,1,0,0,1,0,0,1,0,0,1
14,-1.016937975760963,-0.9120041784761855,-1.4628629148312604,-1.2825089503011162,0.37580480995357807,1,0,0,1,0,0,1,0,0,1
15,-0.9364946890660525,-1.0288515855324332,-1.4628629148312604,-1.1623682281819347,0.05751254848593067,1,0,0,1,0,0,1,0,0,1
16,-0.6549431856338663,-1.4378175102292996,-1.4628629148312604,-0.8219695155109203,-0.7479192415357544,1,0,0,1,0,0,1,0,0,1
17,0.6723710448321544,1.6002150732331344,0.1597876442246541,1.0802585847094544,-0.832571533642367,1,0,0,1,0,0,1,0,0,1
18,-0.6549431856338663,-1.2041226961168043,-1.4628629148312604,-0.8219695155109203,-0.7479192415357544,1,1,1,1,0,0,1,0,0,1
19,0.591927758137244,1.0159780379518972,0.9711129237526113,1.220422760515166,-0.4327281283886928,1,0,0,1,0,0,1,0,0,1
20,-2.0224790594473423,0.6654358167831546,1.7824382032805686,1.6208918342457714,-0.466442979538009,0,0,0,1,0,0,1,0,0,1
21,-0.9364946890660525,-0.9704278820043093,-1.4628629148312604,-1.0822744134358138,0.011283991974902142,1,0,0,1,0,0,1,0,0,1
22,-2.1029223461422526,1.3665202591206393,1.7824382032805686,2.0614078153494373,0.7397857018493507,0,0,0,1,0,0,1,0,0,1
23,-0.6147215422864111,-0.8535804749480623,-1.4628629148312604,-1.2424620429280557,-0.6876205164139825,1,0,0,1,0,0,1,0,0,1
