,featuers,coef,odds,p_value,mean
0,satisfaction_level,-1.2430630432139809,0.2884991777242424,0.0,0.6128335222348156
1,last_evaluation,0.21828410106842983,1.243940422225492,0.38,0.7161017401160078
2,number_project,-0.31084796805771786,0.7328252802513157,0.063,3.80305353690246
3,average_monthly_hours,0.2969766874065488,1.3457839253688682,0.0,201.0503366891126
4,centroidDis,-0.6927823290395806,0.500182459043388,0.0,0.7645144057966846
5,time_spend_company,0.5971047717009261,1.8168509799265091,0.0,0.8295219681312087
6,Work_accident,-1.4737822760852146,0.22905748606365464,0.0,0.1446096406427095
7,promotion_last_5years,-1.0962159417526933,0.3341330734831852,0.0,0.021268084538969265
8,DepartmentGroup_1,0.15560891895535572,1.1683691866884078,0.218,0.6059737315821054
9,DepartmentGroup_2,0.18579038977330264,1.2041698276117614,0.074,0.29955330355357024
10,DepartmentGroup_3,-0.34403618237658307,0.7089032777801121,0.0,0.09447296486432429
11,salary_1,0.6164533333292965,1.8523467214906493,0.0,0.48776585105673714
12,salary_2,0.16897665950631274,1.1840925012978811,0.0,0.4297619841322755
13,salary_3,-0.7880668664834856,0.45472298642429326,0.0,0.0824721648109874
